path	git_blob	sha256	bytes
repo/services/auth-service/internal/service/jwt.go	f12b4b323be5a58f6e3db71ac508a1bde33c23e6	d604489de43f07c38d95896f3d03f7dee7ff5e9cd5853f108527347ef91fd809	9890
repo/services/auth-service/internal/service/token_issuer.go	b9a8b91cf7c479d0630fd83519414da48b28fd24	b99661f3d52ca317b58e3cd90670fe1c1da69bc4226da79a4f50eca73ac5588b	7834
repo/services/envoy-authz-adapter/internal/config/config.go	183e4da8ee4387df448f946a5b27df57f8d8c6f6	16182df8da07444d4991cbbb765eca9db83381c5bc6364617ad1953cb4bffb2c	1487
repo/services/envoy-authz-adapter/internal/authclient/client.go	9a8d80e00157f7c0f5d629e6712d3206fdd1552b	6d5d9445406629d3a839585e39fc414c1a3586c52c0bdb99ee615fc573a9f172	634
repo/services/envoy-authz-adapter/internal/extauth/server.go	24acc942d63a08bf7daada26d373d135c9d06f77	d4a79992530bfc5bf3441aec40df7ed4414a8cbaca500fb82e50b0bb3cc21266	2868
repo/services/envoy-authz-adapter/main.go	6aa74b6dca191a74e9754389318265f5f4f13b1a	c403e95b47aaa725e77af2de827f61d6d364fb069d1522df3d51ef1d42763ff1	2730
repo/services/inference-service/internal/config/config.go	294830add30fd11cc7794df5dbfa491c5e8ff2a0	0782184f4229d4a44b69c796d0c90916bc5a4e61000bb3cf27ee6e397e904788	2934
repo/services/inference-service/internal/runtime/coresdk/minter.go	bc46acc02a0829e9ae8e96149f65bdb891d83db5	0fdd7d5c58021dc723f0a947a295d54bb2e6028f35a20ae9ca752531f77f46ba	2748
repo/services/inference-service/internal/runtime/coresdk/adapter.go	3cb99c4269fa095992769ce3fe07291c1b355007	07ebd335f1d571a23e2696564aa808f550f00b6a93257ec3a65aadfcab2b193f	19382
repo/services/inference-service/main.go	50a9a5c955e6ccb76d6911dcbfa13e7a194a07c0	96d7d3e43ae0badacfe2ba0c7f961502c0ffebf7d6c6e923ef5f58565c1cd270	2970
repo/frontends/console/src/api/auth.ts	aa38dd1abf5beb6390fda8e0bf6bf85295bafdf2	394faaea90d27773fd5efa1973ba4212abe539f8bf4994323e2100401f645926	5806
repo/frontends/console/src/auth/session.ts	a5d13aa1f3d527d125f2b4f87d4e2d306110da39	1e45e7186ffc47775aa32bee84a49e75e9080bcdde338298f42998cdb9f1acc8	8084
repo/frontends/console/src/routes/login.tsx	dbb6b124eb4d6979e82c49e645b2f83a3eb6b4b0	36e1298e25c55de4b6e80bd295ec562e9ef9e4047f70bfd0ff8935567fcfff1f	11341
repo/frontends/console/src/routes/auth/callback.tsx	2a70b7b10c129f0c66f888e4ea00f50cf6de7197	5f377aa7d6689c6bcbd41344279ebb51b9501953db5db1192db85c12d31222a3	3163
repo/frontends/console/src/routes/_authenticated/settings/api-keys.tsx	d3d628e179901f2921d59df60b2fe676037a25ad	07f3d626932b815554b3b5c0117e925d2269823e21c0baded10d4dcc9283bde0	1177
repo/frontends/boss/src/api/auth.ts	bdc2d2711ebacd52344b765e188d8272dcf8767f	172b3bb6680c16f602a5ff964eb39ed397c310c747d5ef4b95adf0c9d9fabbf7	5220
repo/frontends/boss/src/auth/session.ts	7fbca356ea9b005ffe2c7ed3569258a09d158b49	f0e647bb0272b3e2679f177552bb46c18f724c79b53dc999caa8ee7f00d276e8	6580
repo/frontends/boss/src/auth/permissions.ts	44c0f0187ee597d609ff9f7dbb40772ec0c8139d	8e2552c14cc9d02a3595836e8e760a13acbd9f326a838a638568dca5d913fcfd	1485
repo/frontends/boss/src/routes/login.tsx	e2ece3d7ca01de1c9bf60f11b61bae469b524b72	a3c6c9148958a109bd9d38d583b73f9d0ae559522673425f8c2f6ef6ec1aa931	9425
repo/frontends/boss/src/routes/auth/callback.tsx	b64d4ab6b7fddcf7510e1a1a22a9f3b551a0a056	2c3541ea76e0ab539780eca69121ebb46f57cb3748e7e5a21d62530a93b08d6d	2979
repo/deploy/migrations/20260501000100_init_schema.sql	1d0dfee5320448a2f27897249b5b0e9f999fdaa4	269c60113fe43c3f6fba2bda7861cca2e883231b3a40e28da79548294dfecf15	32078
