method	path	operation_id	operation_id_source	old_policy_source	security	authz_version	resource	action	boundary	principal_kinds
GET	/encryption/keys	listEncryptionKeys	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/encryption/keys	createEncryptionKey	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/encryption/keys/{key_id}	getEncryptionKey	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/encryption/keys/{key_id}	deleteEncryptionKey	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/encryption/keys/{key_id}/revoke	revokeEncryptionKey	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/encryption/keys/{key_id}/rotate	rotateEncryptionKey	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/encryption/seal	sealEncryptionObject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/encryption/unseal-token	createEncryptionUnsealToken	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/filesystems	listStorageFilesystems	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/filesystems	createStorageFilesystem	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/filesystems/{filesystem_id}	getStorageFilesystem	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/filesystems/{filesystem_id}	deleteStorageFilesystem	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/filesystems/{filesystem_id}/expand	expandStorageFilesystem	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/filesystems/{filesystem_id}/mount	mountStorageFilesystem	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/filesystems/{filesystem_id}/mount-command	getFilesystemMountCommand	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/filesystems/{filesystem_id}/mount-targets	listFilesystemMountTargets	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/filesystems/{filesystem_id}/mount-targets	createFilesystemMountTarget	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/filesystems/{filesystem_id}/unmount	unmountStorageFilesystem	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/gpu-inventory	listGPUInventory	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
