method	path	operation_id	operation_id_source	old_policy_source	security	authz_version	resource	action	boundary	principal_kinds
POST	/secrets/{secret_id}/bindings	bindSecret	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/tasks	listAsyncTasks	explicit	generated	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	v1	tasks	read	tenant	["user","api_key"]
GET	/tasks/{task_id}	getTask	explicit	generated	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	v1	tasks	read	tenant	["user","api_key"]
GET	/vector-stores	listVectorStores	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/vector-stores	createVectorStore	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/vector-stores/{vector_store_id}	getVectorStore	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/vector-stores/{vector_store_id}	deleteVectorStore	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/vector-stores/{vector_store_id}/delete-precheck	precheckVectorStoreDelete	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/vector-stores/{vector_store_id}/documents	insertVectorStoreDocuments	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/vector-stores/{vector_store_id}/documents	deleteVectorStoreDocuments	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/vector-stores/{vector_store_id}/knowledge-base-link	setVectorStoreKnowledgeBaseLink	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/vector-stores/{vector_store_id}/knowledge-base-link	deleteVectorStoreKnowledgeBaseLink	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/vector-stores/{vector_store_id}/rebuild-index	rebuildVectorStoreIndex	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/vector-stores/{vector_store_id}/search	searchVectorStore	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/volumes	listStorageVolumes	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
