path	git_blob	sha256	bytes	atlas_listed
repo/deploy/migrations/20260821_001_tenant_admin_invitation.sql	65edefeda4adda17f3892ba6c1208c5e8152ba1b	08e97254ded58d62412d9c552746d9c4e155a7c02a1ad43569397f75b0b29f35	3945	no
repo/deploy/migrations/20260825000100_workload_instances_rls_fix.sql	6d3c79bab345b3a788b4a27757f0ee378216adc6	34edcd417b791d5f77d7dba52e45b9b182a6fff3a4e7267946375f4f1fbdf9c5	2059	yes
repo/deploy/migrations/20260825_001_tenant_admin_invitation_pending_unique.sql	e823887774ca2a2b5a1a5f9afd0c514f0121ce60	b32dbca454bfc3b2d07b5613b00b45fd425d151f808b1978d0153ef6c024083e	1528	no
repo/deploy/migrations/20260827000100_storage_objects_bucket_id_nullable.sql	b0d384001039cd43117138f284860f95be157a4c	4ff7eec0310f5335e05dc7abc3532bd24cd67efee7872a40773dd92ec0c8bb15	886	yes
repo/deploy/migrations/20260827000200_users_display_name_soft_delete.sql	109573602d1edf9c8821d53591df27a1249f8e96	00b8ffd2d53e5829f901f8f98d3119981ad6e1ff920d8102ffce5036db6fbc57	743	yes
repo/deploy/migrations/20260827_001_async_tasks_list_index.sql	bc40dac72ffb675e72977adb5e748af2c367a451	296c7654df3e2c03cf664acff4fa9a97048c28a83be0c559f6a68dac6109e606	556	no
repo/deploy/migrations/20260827_001_user_roles_single_role.sql	22b493b9d6a54c8ad6c0782408a566ab5b6af08b	d35fbe12be439583dc025cebdfe1255bfe39fd8a37e60f8173ef5cd873916272	254	no
repo/deploy/migrations/20260828000100_database_roles_hardening.sql	e8ec4d0080faea657732137952e9aa70150ab02c	5eb9f2a705e67df8c290d3dcbc9135beaa6dc74c39f108ee6e318d1814341570	2750	yes
repo/deploy/migrations/20260828000200_app_role_privileges.sql	455fa7700b46d3a6e813bace427dc861ea19bf96	ed341f29d78f339af21b7faebaba01a1d74ff46956883a02873b0a2018f8bd8c	4895	yes
repo/deploy/migrations/20260828_001_instance_resource_rls_fix.sql	06f1ce072dc9696e8c6a24566b94306f9a1450e7	68a01ecf788a688ea95ed3b883c5a59fff11ea6e55d7f1a310f3ef993522db5b	6952	no
repo/deploy/migrations/20260831_001_async_tasks_rls_fix.sql	5890c9f73b2ab702cd048f5180ef459ff1328348	4b64ae003621a5042bc46328106ef41ec918a78bf26a0040d472734fd31c3320	3317	no
repo/deploy/migrations/20260901_001_gpu_chain_remaining_rls_fix.sql	141d9d1edc4ba178d7d3770d4bc3c118bd5c3c76	f77bfa65074280b19429ce43ff2c2154b129ece5eb83adaed6c2bc5b6fad85c8	4063	no
